page,title,date,total,available,type,pay,percent,dates,days
213776,Attitude-김병철 (Kim Byeong Cheol) 개인전,2020.4.25 (토) 19:00 ~ 2020.5.6 (수) 17:00,10.0,0.0,문화/예술,무료,1.0,2020-04-25,(토)
213777,온라인 영화비평 필사모임,2020.5.4 (월) 00:30 ~ 2020.5.29 (금) 22:30,20.0,0.0,문화/예술,유료,1.0,2020-05-04,(월)
213778,Movie Night with Self-Love Goddess,2020.5.15 (금) 19:00 ~ 22:00,6.0,0.0,소모임/친목행사,유료,1.0,2020-05-15,(금)
213781,2030청춘들을 위한 똑 부러지는 재테크 강연 [재능기부 강의],2020.5.9 (토) 14:00 ~ 16:00,20.0,0.0,강연,무료,1.0,2020-05-09,(토)
213785,[5월]스마트폰 똥손탈출 34기 영상 제작 개인코칭(오프라인 2대1 개인코칭),2020.5.2 (토) 09:00 ~ 13:00,2.0,0.0,강연,유료,1.0,2020-05-02,(토)
213786,온라인마케팅 원데이 마스터과정(2일),2020.4.28 (화) 10:00 ~ 2020.4.29 (수) 12:00,1.0,0.0,교육,유료,1.0,2020-04-28,(화)
213787,(온라인)나를 만나는 1시간의 사주 테라피(4월중 언제나 가능),2020.4.30 (목) 10:00 ~ 22:00,3.0,0.0,기타,유료,1.0,2020-04-30,(목)
213788,"인스타그램에서 쇼핑몰 홍보하기(5/5, 저녁반) - 원데이클래스",2020.5.5 (화) 19:00 ~ 21:00,3.0,0.0,교육,유료,1.0,2020-05-05,(화)
213789,1인지식창업 저자특강/ 자본없이 지식과 경험만으로 월급 외 수익 100만원 만들기/책쓰기/퍼스널브랜/무자본회사 운영,2020.5.3 (일) 13:30 ~ 17:30,10.0,0.0,교육,유료,1.0,2020-05-03,(일)
213790,HACK FOR NOW 2020 Virtual Hackathon,2020.5.1 (금) 21:00 ~ 2020.5.3 (일) 22:30,300.0,0.0,기타,무료,1.0,2020-05-01,(금)
213793,[앱마케팅] 앱으로 평생 자동화수익 만들기( 앱수익창출 노하우제공 + 앱제공),2020.5.2 (토) 15:00 ~ 18:00,3.0,0.0,교육,유료,1.0,2020-05-02,(토)
213795,(대구) 싱잉볼 베이직 코스 + 싱잉볼 뮤직테라피,2020.5.12 (화) 13:00 ~ 17:00,8.0,0.0,교육,유료,1.0,2020-05-12,(화)
